,RN,CCTVID,CCTVNAME,CENTERNAME,XCOORD,YCOORD,URL
1308,1309,E910931,[대구외곽순환선]연호1교,국가교통정보센터(고속도로),128.5127778,35.91555556,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910931&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EC%2597%25B0%25ED%2598%25B81%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=94715/NU9CngT+zk68I1KO+Y4q7YBJ6yKci9Ix2a7d3qtW8luvy+V4ndSufo5aI63Hv+uBE78MEQrDa0NtS5SFEncLZE06e2jP+gZfPeBY7sW3l0s=&cctvpasswd=null&cctvport=null
1309,1310,E910932,[대구외곽순환선]오산교,국가교통정보센터(고속도로),128.4797222,35.905,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910932&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EC%2598%25A4%25EC%2582%25B0%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=94710/TyzqFdL8N9aDbX/myEn5ACPp0QjzJR8L8DxSSUJsLoL40MOkNRY9PALKOnIHa8+4zmqqbVO/BTagbRApbgVq0B/zWz5hCHroqKGxBr8CPb8=&cctvpasswd=null&cctvport=null
1310,1311,E910933,[대구외곽순환선]오산리,국가교통정보센터(고속도로),128.5025,35.90972222,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910933&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EC%2598%25A4%25EC%2582%25B0%25EB%25A6%25AC&kind=Z3&cctvip=null&cctvch=null&id=94712/uBpUZuPjK6CBBFtk0DA239y73an9VQZVstuZnhItmTOBvaUTAk1dD0zdi7IbEYicxLJ7EqqR/ngTWRJUhb3bOlSWa4L2vUNanIJC8+kFhbU=&cctvpasswd=null&cctvport=null
1311,1312,E910934,[대구외곽순환선]읍내교,국가교통정보센터(고속도로),128.5489442,35.9530267,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910934&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EC%259D%258D%25EB%2582%25B4%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=94727/WDeTIXbw9npu9w+p1bkYOzAqb2wkjBLYPzKirKC8dHAbdyqdgu/8qMv1BevO4Wy5M04IQDWuadK9LL7/aNtBhZz8m1qdmdFe7jH/f+X13RY=&cctvpasswd=null&cctvport=null
1312,1313,E910935,[대구외곽순환선]이천2교,국가교통정보센터(고속도로),128.4588889,35.87944444,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910935&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EC%259D%25B4%25EC%25B2%259C2%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=94699/kMV5nqhyAlhsWLZSS2oCJEJoP3JkXldlNzdS97WPsT2Ig3zOi0uM589F+YPusmmBv1P0HW/QFRk0vEjrbZ7Tfg6VafzTkerr69xoxvEKDCM=&cctvpasswd=null&cctvport=null
1313,1314,E910936,[대구외곽순환선]지천나들목,국가교통정보센터(고속도로),128.529352,35.929876,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910936&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EC%25A7%2580%25EC%25B2%259C%25EB%2582%2598%25EB%2593%25A4%25EB%25AA%25A9&kind=Z3&cctvip=null&cctvch=null&id=94724/oa/DtM42WaENxIhxH2zzvGlcmuQGfKvMZtl7VEmkTdweXS70OeT87NYMTaWDJDuvhco4gdBUT4vfrEw6q2S+yeaPp3hYR1twbv1aqEUU070=&cctvpasswd=null&cctvport=null
1314,1315,E910937,[대구외곽순환선]칠곡분기점,국가교통정보센터(고속도로),128.4886111,35.90666667,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910937&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EC%25B9%25A0%25EA%25B3%25A1%25EB%25B6%2584%25EA%25B8%25B0%25EC%25A0%2590&kind=Z3&cctvip=null&cctvch=null&id=94711/meWQLCLwGP68uuRtNTTXU4QeMrUOvOXZPOcvUUSlVKFSeuZ0SELCciu2V7dXrZDmHYSd7yIuchGGZz6GdlImOe5JhiL3h6zFnzQBytKn++E=&cctvpasswd=null&cctvport=null
1315,1316,E910938,[대구외곽순환선]파군재나들목,국가교통정보센터(고속도로),128.6411773,35.936568,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910938&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25EC%2599%25B8%25EA%25B3%25BD%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25ED%258C%258C%25EA%25B5%25B0%25EC%259E%25AC%25EB%2582%2598%25EB%2593%25A4%25EB%25AA%25A9&kind=Z3&cctvip=null&cctvch=null&id=94745/yJPNGlVfUsXpAa2W+7I1ZKPI2ihk1ZVSAZeAmaDx6y7VX64D0y1YE1tpN0RQxqk9uAqTSvKM+jMLxIMpAMwpJAVxsLLNKL3HzWmLf6SVrOo=&cctvpasswd=null&cctvport=null
1316,1317,E910939,[대구포항선]석촌리,국가교통정보센터(고속도로),128.870132446289,36.0050239562988,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910939&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25ED%258F%25AC%25ED%2595%25AD%25EC%2584%25A0%255D%25EC%2584%259D%25EC%25B4%258C%25EB%25A6%25AC&kind=Z3&cctvip=null&cctvch=null&id=3979/LkA7DTiKbhGAqnefuPJbFZjZG7K5Q3bwMfaEuJo64QG/esF/1WEWdKcijTJaoHSqs6t5l8fLrcqR4abI6epE5uJWkLHY26U54JvqoEPJRr4=&cctvpasswd=null&cctvport=null
1317,1318,E910940,[대구포항선]수성리,국가교통정보센터(고속도로),129.102706909179,36.055736541748,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910940&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25ED%258F%25AC%25ED%2595%25AD%25EC%2584%25A0%255D%25EC%2588%2598%25EC%2584%25B1%25EB%25A6%25AC&kind=Z3&cctvip=null&cctvch=null&id=3980/J4ysEGxRyufpg2Qx7P4jKrFBZ+VeqCbD2cXD0403pwUNRJJgsmqpJTwDkg8tg6WFpgcqhNDEeMVjojXQqBg/5uFkuXuF5wK0cu1rXUgjRT4=&cctvpasswd=null&cctvport=null
1318,1319,E910941,[대구포항선]화남육교,국가교통정보센터(고속도로),128.9429,36.03923,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910941&cctvName=%255B%25EB%258C%2580%25EA%25B5%25AC%25ED%258F%25AC%25ED%2595%25AD%25EC%2584%25A0%255D%25ED%2599%2594%25EB%2582%25A8%25EC%259C%25A1%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=3079/mY2e25C6V1XfvuPsYJPfKiQ8oZfNx7rWwJ3Zuvq4B/U3sdQ5szvALM902LjFYR81fzwaDXfNR0Rxd90rghc9+4l2gGqzA5M7SJokIxSZHi8=&cctvpasswd=null&cctvport=null
1319,1320,E910942,[대전남부선][산내]안영1터널(산내외부),국가교통정보센터(고속도로),127.362116,36.288203,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910942&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%255B%25EC%2582%25B0%25EB%2582%25B4%255D%25EC%2595%2588%25EC%2598%25811%25ED%2584%25B0%25EB%2584%2590(%25EC%2582%25B0%25EB%2582%25B4%25EC%2599%25B8%25EB%25B6%2580)&kind=Z3&cctvip=null&cctvch=null&id=343/8cLyxe2Ybw0RbCX1PcqhXDogzrxGP7HXOCmSqNH9Ku/WiG6VPygyUJHu77U/XiCcSqUojrx8ifEkaly7+XToAzVJEbcX6R8hhx2phgRiARw=&cctvpasswd=null&cctvport=null
1320,1321,E910943,[대전남부선][서대전]구봉터널(서대전외부),국가교통정보센터(고속도로),127.359046,36.28926,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910943&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%255B%25EC%2584%259C%25EB%258C%2580%25EC%25A0%2584%255D%25EA%25B5%25AC%25EB%25B4%2589%25ED%2584%25B0%25EB%2584%2590(%25EC%2584%259C%25EB%258C%2580%25EC%25A0%2584%25EC%2599%25B8%25EB%25B6%2580)&kind=Z3&cctvip=null&cctvch=null&id=342/W36+1JSy/FO01bsbT0GpNRwyLFRUmlx3Zbcw6l6GkfHBn7FjC5vZ72OfHd9lexbBCOy+0iEfOqtx4uzPdYlOnXGDxOPFsacEZQUT1jUuiVk=&cctvpasswd=null&cctvport=null
1321,1322,E910944,[대전남부선]구봉,국가교통정보센터(고속도로),127.334342956542,36.291690826416,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910944&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%25EA%25B5%25AC%25EB%25B4%2589&kind=Z3&cctvip=null&cctvch=null&id=260/B5Uo/HASvQWqIpR+lzZKgO6i/bRG7LB5b/oWQtLzouN+GghWPyonicbA+FZj8mmrDOZhCWjXfo6wj+lWReKAG3LfPcUJhYhxSueIDuPza8A=&cctvpasswd=null&cctvport=null
1322,1323,E910945,[대전남부선]구완터널,국가교통정보센터(고속도로),127.4248498,36.27839151,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910945&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%25EA%25B5%25AC%25EC%2599%2584%25ED%2584%25B0%25EB%2584%2590&kind=Z3&cctvip=null&cctvch=null&id=3093/jIgKsybHAfS5yV1r6WRGgGps/9kd2QfLT8ZI+xRHxxNgfzxTl+QLB0e5HlmPjzMWMvhXXsPxRVD3wSCIEr1z8fdk3LxWmbBahpaQ5BXCZUU=&cctvpasswd=null&cctvport=null
1323,1324,E910946,[대전남부선]무수교,국가교통정보센터(고속도로),127.39695739746,36.2772369384765,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910946&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%25EB%25AC%25B4%25EC%2588%2598%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=3794/gROPiIYiS4dUhcCyRe5591PaWCBkNO2VPfjS71vw5MCnzK/KHcDcneDgKb6TV1nNeSzMuvSb0XqfexvTqMnVZP6myWFkI3tea1T+K5G9KZg=&cctvpasswd=null&cctvport=null
1324,1325,E910947,[대전남부선]서대전,국가교통정보센터(고속도로),127.33066,36.2927,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910947&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%25EC%2584%259C%25EB%258C%2580%25EC%25A0%2584&kind=Z3&cctvip=null&cctvch=null&id=2095/0j7bgdUU5nycm7/ddhsfxnf+tLLXnivRGxK6thAkG2GIoYnfL3jqil94jLH03JCFEyHn2AdONq7P8WzjtYiruGRsOwudRmfF1tIsvbz6yCI=&cctvpasswd=null&cctvport=null
1325,1326,E910948,[대전남부선]안영,국가교통정보센터(고속도로),127.3794038,36.28320716,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910948&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%25EC%2595%2588%25EC%2598%2581&kind=Z3&cctvip=null&cctvch=null&id=2094/wP1wI3dr/zye5MdmnEzsAD5cWZSDLTTyR5mruSz6jrcg+iYNbNV2kRs7GXppgCWpk4znAVJNxMeLkH6kZUfd123GV2KMSQBRGzlMokY2dRs=&cctvpasswd=null&cctvport=null
1326,1327,E910949,[대전남부선]이사1교,국가교통정보센터(고속도로),127.445095,36.279473,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910949&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2584%25A0%255D%25EC%259D%25B4%25EC%2582%25AC1%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=8493/nU2iRxNysn+pHeWpn2/fruUI+Xy/q6fjCR+kX3MjiNJOnz2LL0JZUrxM9WkpNVjIH5V5S9aTA0yCV9/EntRICtWs6bKrFxtUMyg0qUtJWAU=&cctvpasswd=null&cctvport=null
1327,1328,E910950,[대전남부순환선]무수2교,국가교통정보센터(고속도로),127.402107238769,36.2756805419921,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910950&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%2582%25A8%25EB%25B6%2580%25EC%2588%259C%25ED%2599%2598%25EC%2584%25A0%255D%25EB%25AC%25B4%25EC%2588%25982%25EA%25B5%2590&kind=Z3&cctvip=null&cctvch=null&id=3936/QhfgU6KSJXLSPx6QawYvdZtc/nDYN5jZhtWMbwHIRqUFL+YF7589cZT3JMRaj0hvS2AJq/BwkMA3qPAWiJP/XOncizzQ8b8WUvDiiy5DgF8=&cctvpasswd=null&cctvport=null
1328,1329,E910951,[대전당진선]반석,국가교통정보센터(고속도로),127.29685974121,36.4086761474609,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910951&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%258B%25B9%25EC%25A7%2584%25EC%2584%25A0%255D%25EB%25B0%2598%25EC%2584%259D&kind=Z3&cctvip=null&cctvch=null&id=3935/5F4mx79mu6Nc+qgjQdrsXyy+anCi9rJLIWRTyOASSzD2ZBrxhKBI8tWEYIda5VGvawI9DiH0+M71Z8OQc3hRPwIh32mRg9CoXKzLFvwr/Vo=&cctvpasswd=null&cctvport=null
1329,1330,E910952,[대전당진선]분천,국가교통정보센터(고속도로),126.758338928222,36.7146835327148,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910952&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%258B%25B9%25EC%25A7%2584%25EC%2584%25A0%255D%25EB%25B6%2584%25EC%25B2%259C&kind=Z3&cctvip=null&cctvch=null&id=3930/Iw+9cdPeBOE18Tsa5fnnLxk+1VjYJb0KyYUG0NswUTNRgjtRnGD7hUYjDV4TzdyWp/9ZpJzsqdxl5spPFAc2P4PKMwVEAnpvpzjqU0/liYA=&cctvpasswd=null&cctvport=null
1330,1331,E910953,[대전당진선]서세종2,국가교통정보센터(고속도로),127.188232421875,36.4993286132812,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910953&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%258B%25B9%25EC%25A7%2584%25EC%2584%25A0%255D%25EC%2584%259C%25EC%2584%25B8%25EC%25A2%25852&kind=Z3&cctvip=null&cctvch=null&id=3934/yJ85koNSzDqjjGUjDY6L4GGjbtsYCTLbrLczVgSJnZ1dsWzieKcorT6kR1zUzNH3xVSNcB4RBQzX9zTf61Gym/RKFRCYf68jTRpBt9qSMeM=&cctvpasswd=null&cctvport=null
1331,1332,E910954,[대전당진선]송정,국가교통정보센터(고속도로),127.151451110839,36.4946212768554,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910954&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%258B%25B9%25EC%25A7%2584%25EC%2584%25A0%255D%25EC%2586%25A1%25EC%25A0%2595&kind=Z3&cctvip=null&cctvch=null&id=3933/lhP9vz3T1gTtMjCosdKmVDQU7LUBgvvHho6jO6WXyzQwF9Y25dC6Z1Pad/rk1lgeGI1Gzz4a8DZqZ1yXquhRGBqwkAHzR/fZlcY/l+cHDPw=&cctvpasswd=null&cctvport=null
1332,1333,E910955,[대전당진선]월곡,국가교통정보센터(고속도로),126.7782745,36.67416382,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910955&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%258B%25B9%25EC%25A7%2584%25EC%2584%25A0%255D%25EC%259B%2594%25EA%25B3%25A1&kind=Z3&cctvip=null&cctvch=null&id=3931/B+zkKWk9+JUvcX1LyVSXdWYdcwL1eihPoOlYi6Ok4s7ILpaIAfJ3M+DIQJ6Qb3nelQimd37azq2hoxJMe9X6eOrGlIzIiWhD9rGDTquFmbg=&cctvpasswd=null&cctvport=null
1333,1334,E910956,[대전당진선]화흥,국가교통정보센터(고속도로),126.991104125976,36.5416374206542,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910956&cctvName=%255B%25EB%258C%2580%25EC%25A0%2584%25EB%258B%25B9%25EC%25A7%2584%25EC%2584%25A0%255D%25ED%2599%2594%25ED%259D%25A5&kind=Z3&cctvip=null&cctvch=null&id=3932/MygQYtU3R6jTSMuRvMsglvu40OiIfaY1l7NeoBbyRU7lts42C5APJ1BxrNUYJNrFTWhw0JtAcGPqeZ2ycaWkjoOfcBqhxht5loELZSTL2qk=&cctvpasswd=null&cctvport=null
1334,1335,E910957,[동해선][근덕]양양1터널(근덕외부),국가교통정보센터(고속도로),128.5819,38.0889,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910957&cctvName=%255B%25EB%258F%2599%25ED%2595%25B4%25EC%2584%25A0%255D%255B%25EA%25B7%25BC%25EB%258D%2595%255D%25EC%2596%2591%25EC%2596%25911%25ED%2584%25B0%25EB%2584%2590(%25EA%25B7%25BC%25EB%258D%2595%25EC%2599%25B8%25EB%25B6%2580)&kind=Z3&cctvip=null&cctvch=null&id=3533/05+Ixdc7WLC3oo/mlHiwKyZ6vpQZcvNy78swNSNU8S4f85TifDmrL3nOM5hY2QDu/9OZeNq5xsO9nVyxXH9dFzntn3tu8G4PQvc/SFjVuFo=&cctvpasswd=null&cctvport=null
1335,1336,E910958,[동해선][근덕]청대터널(근덕외부),국가교통정보센터(고속도로),128.5597,38.18,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910958&cctvName=%255B%25EB%258F%2599%25ED%2595%25B4%25EC%2584%25A0%255D%255B%25EA%25B7%25BC%25EB%258D%2595%255D%25EC%25B2%25AD%25EB%258C%2580%25ED%2584%25B0%25EB%2584%2590(%25EA%25B7%25BC%25EB%258D%2595%25EC%2599%25B8%25EB%25B6%2580)&kind=Z3&cctvip=null&cctvch=null&id=3536/rB5RiIN40Po4GsHks4HYMXyX2L16sdXOyb5rTJuTmrc9TdsuYiUboaTb0OzFkskL8ZEcC+6pYsZujcMLD7Di/IOzDWILxlArmQ7gbmTIJgo=&cctvpasswd=null&cctvport=null
1336,1337,E910959,[동해선][속초]양양2터널(속초외부),국가교통정보센터(고속도로),128.583,38.1112,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910959&cctvName=%255B%25EB%258F%2599%25ED%2595%25B4%25EC%2584%25A0%255D%255B%25EC%2586%258D%25EC%25B4%2588%255D%25EC%2596%2591%25EC%2596%25912%25ED%2584%25B0%25EB%2584%2590(%25EC%2586%258D%25EC%25B4%2588%25EC%2599%25B8%25EB%25B6%2580)&kind=Z3&cctvip=null&cctvch=null&id=3534/1W42LnGmGeiKAuerDNKynglfVySlHDAwTjDHiuFK+1OIrW3bE60aHMGBTtOM7Sxw+Yjddrda5ayRvo+oOnsdRP1dlbgAMUASnSWQN+n5iT0=&cctvpasswd=null&cctvport=null
1337,1338,E910960,[동해선][속초]청대터널(속초외부),국가교통정보센터(고속도로),128.5841,38.1722,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910960&cctvName=%255B%25EB%258F%2599%25ED%2595%25B4%25EC%2584%25A0%255D%255B%25EC%2586%258D%25EC%25B4%2588%255D%25EC%25B2%25AD%25EB%258C%2580%25ED%2584%25B0%25EB%2584%2590(%25EC%2586%258D%25EC%25B4%2588%25EC%2599%25B8%25EB%25B6%2580)&kind=Z3&cctvip=null&cctvch=null&id=3535/lABeOFMYsIZozXK8uBKECNYWe2V2euzBdNSbqwBkwcBHE1+5UosNpaBCENmbRFWzcgi5KhFaUKwoJJKjIsMZBankB0cX08KPnzXnv8HKzkI=&cctvpasswd=null&cctvport=null
1338,1339,E910961,[동해선][울산]다운1터널(울산외부1),국가교통정보센터(고속도로),129.26357,35.56993,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910961&cctvName=%255B%25EB%258F%2599%25ED%2595%25B4%25EC%2584%25A0%255D%255B%25EC%259A%25B8%25EC%2582%25B0%255D%25EB%258B%25A4%25EC%259A%25B41%25ED%2584%25B0%25EB%2584%2590(%25EC%259A%25B8%25EC%2582%25B0%25EC%2599%25B8%25EB%25B6%25801)&kind=Z3&cctvip=null&cctvch=null&id=344/dDAiIWNOefG8CBbs/FQ8tzZx2jJZyw86rQQiQdPZsQP4kkjrZ7iteKFWUp1qMOb5oO3EPw6dVqehs2o8AiRGBuC2Wg2HJR+YHQo+s6LcaAs=&cctvpasswd=null&cctvport=null
1339,1340,E910962,[동해선][울산]범서4터널(울산외부1),국가교통정보센터(고속도로),129.29506,35.651035,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910962&cctvName=%255B%25EB%258F%2599%25ED%2595%25B4%25EC%2584%25A0%255D%255B%25EC%259A%25B8%25EC%2582%25B0%255D%25EB%25B2%2594%25EC%2584%259C4%25ED%2584%25B0%25EB%2584%2590(%25EC%259A%25B8%25EC%2582%25B0%25EC%2599%25B8%25EB%25B6%25801)&kind=Z3&cctvip=null&cctvch=null&id=368/jIl06Pj2mszjCOkk+BJgqYU/F/zfcqffbsqIzhWKU8MhG2D0ySiwZ86LbnLhzxjNcbDD/5qC91ZPVvvimy5VOTm9jas1Ji98SsIXicS1ZEs=&cctvpasswd=null&cctvport=null
1340,1341,E910963,[동해선][울산]양북1터널(울산16),국가교통정보센터(고속도로),129.368602,35.753873,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=E910963&cctvName=%255B%25EB%258F%2599%25ED%2595%25B4%25EC%2584%25A0%255D%255B%25EC%259A%25B8%25EC%2582%25B0%255D%25EC%2596%2591%25EB%25B6%25811%25ED%2584%25B0%25EB%2584%2590(%25EC%259A%25B8%25EC%2582%25B016)&kind=Z3&cctvip=null&cctvch=null&id=9293/T7UBOcSNd42iHIIlO3PmcujbOyaAug3umrFbnmumbgUhTah84hUb4TcHuyFRGSyBKcOHo/bR4TRgT4/AGOpm8wEiqUuMZMbAb9c18Izp+4s=&cctvpasswd=null&cctvport=null
